Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,537.5,684.2,479.7,445.7,416.2,347,373.7,368.5,410.5,373.7,442.4
Operating Expenses Qtr Cr,393.5,346.6,311.6,310.6,268.9,245.4,252.6,262.6,264.8,287.4,296.8
Operating Profit Qtr Cr,115.3,130.2,144.3,118.8,119.5,82.2,97.9,87.7,75.3,30.5,101.1
Operating Profit Margin Qtr %,22.66%,27.31%,31.65%,27.67%,30.77%,24.25%,27.93%,25.04%,22.14%,8.74%,25.41%
Depreciation Qtr Cr,28.5,23,24.6,24.4,24.7,22.2,23.5,24.6,26,25.5,25.3
Interest Qtr Cr,3.3,2.7,2.6,2.5,2.6,2.9,5,3.2,3.5,3.7,3.7
Profit Before Tax Qtr Cr,112.2,311.9,140.9,108.2,120,65.1,92.6,78.1,116.2,26,116.6
Tax Qtr Cr,29.1,24.5,34.6,24.3,28.5,19,16.9,12.7,25.3,27,24.1
Net Profit Qtr Cr,83.1,287.4,106.3,83.9,91.5,46.1,75.7,65.4,90.9,-1,92.5
Basic EPS Qtr Rs,7.6,26.3,9.7,7.7,8.3,4.2,6.9,6,8.3,-0.1,8.4
