Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1540.2,1439.4,2858,2831.5,3003.4,2420.8,2367.9,2419.2,1963.2,2571.4,2532.5
Operating Expenses Qtr Cr,1141.3,1088.7,2421.8,2384.3,2604.1,2074.2,2045.1,2166.2,1920.1,2223.8,2152.8
Operating Profit Qtr Cr,388.3,332.1,424.4,438.9,390.6,335.8,321.9,248.2,41.5,348.3,376.7
Operating Profit Margin Qtr %,25.39%,23.37%,14.91%,15.54%,13.04%,13.93%,13.60%,10.28%,2.11%,13.54%,14.89%
Depreciation Qtr Cr,89.2,104.7,97.4,93.7,96,101.4,91.8,116.3,126.4,129.1,123.1
Interest Qtr Cr,59.6,57.6,62.1,64.4,63.8,68.3,75.8,97.2,102.6,107.3,111
Profit Before Tax Qtr Cr,250.1,188.4,276.7,289,232.8,168.9,155.3,38.4,-185.9,275.6,145.6
Tax Qtr Cr,-83,39.7,101.3,103.1,82.8,53.4,49.1,5.9,-36.8,70,50.9
Net Profit Qtr Cr,333.1,153.7,175.4,185.9,150,115.5,106.2,32.5,-149.1,205.6,94.8
Basic EPS Qtr Rs,23.2,10.7,12.2,12.9,10.4,8.1,7.6,2.3,-10.7,14.8,6.8
