Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2.9,1.1,1.4,0.3,0.3,0.3,0,0,0,0,0
Operating Expenses Qtr Cr,2.7,9.3,1.3,3.8,1.5,7.2,0.2,0.3,1,0.8,0
Operating Profit Qtr Cr,-1,-9.3,-1.3,-3.8,-1.5,-7.2,-0.2,-0.3,-1,-0.8,-0
Operating Profit Margin Qtr %,-58.19%,,,,,,,,,,
Depreciation Qtr Cr,0,0,0,0,0.2,0.2,0.2,0,0,0,0
Interest Qtr Cr,1.7,1.4,1.8,1.4,1.2,1.1,0.1,0.1,0.1,0.1,0.1
Profit Before Tax Qtr Cr,-1.4,-9.6,-1.6,-4.9,-2.6,-8.2,-0.4,-0.4,-1,-0.9,-0
Tax Qtr Cr,0,-3.8,0,0.5,-0.6,-2.1,-0.1,-0.1,-0.3,-0.2,-0
Net Profit Qtr Cr,-1.4,-5.8,-1.6,-5.4,-1.9,-6.1,-0.3,-0.3,-0.8,-0.6,-0
Basic EPS Qtr Rs,-0.1,-0.2,-0.1,-0.2,-0.1,-0.2,0,0,0,0,-7.1
