Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,20541.6,8963.9,8174.6,5096.1,5092.9,4752.7,4183.7,2713.2,2101,4146.3,3906.9
Operating Expenses Qtr Cr,19756.8,8407.5,8049.1,4515.6,4546.1,4273.3,3744,2300.7,2037,4114.2,3453.8
Operating Profit Qtr Cr,561.7,400.4,10.8,451.2,443.4,438.4,334.9,275.5,-45.2,-113.6,371.8
Operating Profit Margin Qtr %,2.76%,4.55%,0.13%,9.08%,8.89%,9.30%,8.21%,10.70%,-2.27%,-2.84%,9.72%
Depreciation Qtr Cr,32.2,33.4,30.8,30.5,30,30.1,30.4,30.6,30.5,31,30
Interest Qtr Cr,151.2,180.7,144.6,131.3,114.8,130.5,150.7,114.5,110.2,114.2,108.6
Profit Before Tax Qtr Cr,601.4,342.4,-49.9,418.8,402.1,185.4,179.1,267.4,-76.7,-113.1,314.5
Tax Qtr Cr,158.5,115.7,-13.5,145.1,145.3,58.6,62,61.3,4.6,-32.5,106.4
Net Profit Qtr Cr,442.9,226.7,-36.5,273.7,256.8,126.8,117.2,206.2,-81.3,-80.6,208.1
Basic EPS Qtr Rs,4,2.1,-0.3,2.5,2.3,1.1,1.1,1.9,-0.7,-0.7,1.9
