,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Jun-2020,52.5,36.7,13.7,11.5,3.7,0.7,-1.1,1.8
Sep-2020,112.9,60.1,50.4,13.6,4.2,35.0,8.9,26.0
Dec-2020,99.8,51.6,45.4,12.3,3.5,32.4,8.2,24.1
Mar-2021,113.0,55.6,53.9,12.4,3.4,41.6,10.7,30.9
Jun-2021,122.6,64.0,55.3,11.8,3.9,42.9,10.6,32.3
Sep-2021,112.7,59.2,50.3,12.3,3.9,37.2,9.8,27.3
Dec-2021,111.5,61.1,47.2,12.9,4.1,33.4,8.3,25.0
Mar-2022,117.1,66.7,47.1,15.1,4.3,30.9,7.5,23.5
Jun-2022,104.9,62.8,39.2,14.1,4.7,23.3,6.1,17.2
