,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2020,103.6,66.5,30.3,15.1,5.0,16.9,-0.8,17.8
Jun-2021,40.3,36.9,-5.9,16.0,5.7,-18.4,0.6,-19.0
Sep-2021,117.1,76.9,35.2,16.8,5.4,18.1,-0.5,18.6
Dec-2021,145.2,89.9,52.1,16.8,5.5,33.0,9.3,23.7
Mar-2022,119.4,78.6,37.7,18.9,6.8,15.2,2.9,12.3
Jun-2022,168.9,112.1,53.1,18.8,6.1,31.9,7.5,24.4
