Ticker,Name,Exchange,Category Name,Country,Name [Ticker]
UGARSUGAR.NS,The Ugar Sugar Works Limited,NSE,Confectioners,India,The Ugar Sugar Works Limited [UGARSUGAR.NS]
CUB.NS,City Union Bank Limited,NSE,Money Center Banks,India,City Union Bank Limited [CUB.NS]
BVCL.NS,Barak Valley Cements Limited,NSE,General Building Materials,India,Barak Valley Cements Limited [BVCL.NS]
VSTTILLERS.NS,V.S.T. Tillers Tractors Limited,NSE,Farm & Construction Machinery,India,V.S.T. Tillers Tractors Limited [VSTTILLERS.NS]
VSTIND.NS,VST Industries Limited,NSE,"Tobacco Products, Other",India,VST Industries Limited [VSTIND.NS]
VOLTAMP.NS,Voltamp Transformers Limited,NSE,Diversified Machinery,India,Voltamp Transformers Limited [VOLTAMP.NS]
VISUINTL.NS,Ed & Tech international Limited,NSE,Education & Training Services,India,Ed & Tech international Limited [VISUINTL.NS]
VIPIND.NS,VIP Industries Limited,NSE,Textile - Apparel Footwear & Accessories,India,VIP Industries Limited [VIPIND.NS]
VIMTALABS.NS,Vimta Labs Limited,NSE,Medical Laboratories & Research,India,Vimta Labs Limited [VIMTALABS.NS]
VIDEOIND.NS,Videocon Industries Limited,NSE,Electronic Equipment,India,Videocon Industries Limited [VIDEOIND.NS]
SPECTACLE.NS,Spectacle Ventures Limited,NSE,,India,Spectacle Ventures Limited [SPECTACLE.NS]
HOTELEELA.NS,Hotel Leelaventure Limited,NSE,Lodging,India,Hotel Leelaventure Limited [HOTELEELA.NS]
HMVL.NS,Hindustan Media Ventures Limited,NSE,Publishing - Newspapers,India,Hindustan Media Ventures Limited [HMVL.NS]
VLSFINANCE.NS,VLS Finance Limited,NSE,Investment Brokerage - National,India,VLS Finance Limited [VLSFINANCE.NS]
VISUINTL-EQ.NS,VISU INTERNATIONAL INR10,NSE,,India,VISU INTERNATIONAL INR10 [VISUINTL-EQ.NS]
VALECHAENG-EQ.NS,VALECHA ENGINEERIN INR10,NSE,,India,VALECHA ENGINEERIN INR10 [VALECHAENG-EQ.NS]
VIDHIDYE.NS,Vidhi Specialty Food Ingredients Limited,NSE,,India,Vidhi Specialty Food Ingredients Limited [VIDHIDYE.NS]
VARDMNPOLY-EQ.NS,VARDHMAN POLYTEX INR10,NSE,,India,VARDHMAN POLYTEX INR10 [VARDMNPOLY-EQ.NS]
GEECEE-EQ.NS,GEECEE VENTURES LIMITED,NSE,,India,GEECEE VENTURES LIMITED [GEECEE-EQ.NS]
VALECHAENG.NS,Valecha Engineering Limited,NSE,General Contractors,India,Valecha Engineering Limited [VALECHAENG.NS]
HINDUJAVEN.NS,Hinduja Ventures Limited,NSE,CATV Systems,India,Hinduja Ventures Limited [HINDUJAVEN.NS]
VSSL-EQ.NS,VARDHMAN SPECIAL STEELS LIMITED,NSE,,India,VARDHMAN SPECIAL STEELS LIMITED [VSSL-EQ.NS]
VIKASECO-EQ.NS,VIKAS ECOTECH LIMI INR1,NSE,,India,VIKAS ECOTECH LIMI INR1 [VIKASECO-EQ.NS]
SPECTACLE-EQ.NS,SPEC VENTURES LTD INR1,NSE,,India,SPEC VENTURES LTD INR1 [SPECTACLE-EQ.NS]
SMCSRVIRD-MF.NS,SUNDARAM ASSET MAN MICRO CAP VI,NSE,,India,SUNDARAM ASSET MAN MICRO CAP VI [SMCSRVIRD-MF.NS]
VTXIND-BE.NS,VTXIND-BE.NS,NSE,,India,VTXIND-BE.NS [VTXIND-BE.NS]
VMART.NS,V-Mart Retail Limited,NSE,Department Stores,India,V-Mart Retail Limited [VMART.NS]
GEECEE.NS,GeeCee Ventures Limited,NSE,Real Estate Development,India,GeeCee Ventures Limited [GEECEE.NS]
