Ticker,Name,Exchange,Category Name,Country,Name [Ticker]
JMFINANCIL-EQ.NS,JM FINANCIAL INR1,NSE,,India,JM FINANCIAL INR1 [JMFINANCIL-EQ.NS]
JAGSNPHARM-EQ.NS,JAGSONPAL PHARMACE INR5,NSE,,India,JAGSONPAL PHARMACE INR5 [JAGSNPHARM-EQ.NS]
JAMNAAUTO.NS,Jamna Auto Industries Limited,NSE,Auto Parts,India,Jamna Auto Industries Limited [JAMNAAUTO.NS]
JAICORPLTD.NS,Jai Corp Limited,NSE,Rubber & Plastics,India,Jai Corp Limited [JAICORPLTD.NS]
JMA.NS,Jullundur Motor Agency (Delhi) Limited,NSE,Auto Parts,India,Jullundur Motor Agency (Delhi) Limited [JMA.NS]
JYOTISTRUC-EQ.NS,JYOTI STRUCTURES INR2,NSE,,India,JYOTI STRUCTURES INR2 [JYOTISTRUC-EQ.NS]
JUSTDIAL.NS,Just Dial Limited,NSE,,India,Just Dial Limited [JUSTDIAL.NS]
JKIL.NS,J. Kumar Infraprojects Limited,NSE,General Contractors,India,J. Kumar Infraprojects Limited [JKIL.NS]
J&KBANK.NS,The Jammu and Kashmir Bank Limited,NSE,Money Center Banks,India,The Jammu and Kashmir Bank Limited [J&KBANK.NS]
JUSTDIAL-EQ.NS,JUST DIAL LTD INR10,NSE,,India,JUST DIAL LTD INR10 [JUSTDIAL-EQ.NS]
J&KBANK-EQ.NS,THE JAMMU & KASHMIR BANK LIMITE,NSE,,India,THE JAMMU & KASHMIR BANK LIMITE [J&KBANK-EQ.NS]
JAMNAAUTO-EQ.NS,JAMNA AUTO INDUSTRIES LIMITED,NSE,,India,JAMNA AUTO INDUSTRIES LIMITED [JAMNAAUTO-EQ.NS]
JSWSTEEL-P2.NS,JSW STEEL LTD 0.01% PRF 15/03/1,NSE,,India,JSW STEEL LTD 0.01% PRF 15/03/1 [JSWSTEEL-P2.NS]
JCTEL-EQ.NS,JCT ELECTRONICS INR1.00,NSE,,India,JCT ELECTRONICS INR1.00 [JCTEL-EQ.NS]
PCJEWELLER.NS,PC Jeweller Limited,NSE,Jewelry Stores,India,PC Jeweller Limited [PCJEWELLER.NS]
JSWHL-EQ.NS,JSW HOLDINGS LIMIT INR10,NSE,,India,JSW HOLDINGS LIMIT INR10 [JSWHL-EQ.NS]
