Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,700.1,703,639.9,634,541.9,582.7,496.8,363.8,287.2,532.5,564.4
Operating Expenses Qtr Cr,594.7,543.6,550.7,552.9,508.6,499.8,456.2,396,333,481.6,497.9
Operating Profit Qtr Cr,99.7,76.6,83,69.1,27.4,75.7,34.6,-45.9,-95.5,43.4,61.4
Operating Profit Margin Qtr %,14.36%,12.35%,13.10%,11.11%,5.11%,13.16%,7.04%,-13.10%,-40.22%,8.27%,10.97%
Depreciation Qtr Cr,30.6,30.3,29.6,29.7,29.2,29.4,31.2,31,31.2,32.7,34.3
Interest Qtr Cr,9.4,9.6,9.5,9.8,9.8,10.5,10.7,11.1,11.2,10.9,11.8
Profit Before Tax Qtr Cr,65.5,119.4,50.1,41.6,-5.6,43,-1.3,-74.4,-88.3,7.3,20.3
Tax Qtr Cr,22.9,41.7,17.6,14.5,-2,15.4,-0.5,-26.2,-31.1,2.1,6.8
Net Profit Qtr Cr,42.6,77.7,32.5,27.1,-3.7,27.6,-0.9,-48.2,-57.2,5.2,13.5
Basic EPS Qtr Rs,2.1,3.8,1.6,1.7,-0.2,1.4,0,-2.4,-2.8,0.3,0.7
