Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,214.8,35.9,27.2,126.1,24.4,379.7,841.1,773.6,762.9,874,806.7
Operating Expenses Qtr Cr,208.9,30.4,24,22.9,17.2,310.7,707.5,641.6,622.6,697.7,706.8
Operating Profit Qtr Cr,-4.4,-1.6,-5.3,-2.9,3,55.2,121.4,119.1,131.3,93.6,94.4
Operating Profit Margin Qtr %,-2.14%,-5.52%,-28.66%,-14.23%,14.86%,15.08%,14.65%,15.66%,17.42%,11.83%,11.79%
Depreciation Qtr Cr,9.2,1.6,1.6,1.5,1.5,11,29.9,29.6,29.5,29.8,28.5
Interest Qtr Cr,3.1,8.1,7.8,7.6,7.1,12.1,22.8,27.2,39.7,36.2,34.8
Profit Before Tax Qtr Cr,-6.5,-4.1,-6.2,94.1,-1.5,45.9,81,75.2,71.1,110.4,35
Tax Qtr Cr,-1.3,-1,-0.9,6,-0.4,10.7,16.3,12.6,19,-0.8,0.3
Net Profit Qtr Cr,-5.2,-3.1,-5.3,88.1,-1.1,35.2,64.7,62.6,52,111.2,34.6
Basic EPS Qtr Rs,-0.3,-0.2,-0.3,5.5,-0.1,2.2,4.1,3.9,3.3,7,2.2
