Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,18087,20227,21227,15813,14357,12483,15676,8721,11508,8640,9243
Operating Expenses Qtr Cr,15016,13769,12405,10433,9190,9329,7184,6689,5578,6763,6757
Operating Profit Qtr Cr,2897,5240,3782,4690,3768,2976,2477,1917,1111,1693,2328
Operating Profit Margin Qtr %,16.17%,27.57%,23.36%,31.01%,29.08%,24.19%,25.64%,22.28%,16.61%,20.02%,25.62%
Depreciation Qtr Cr,873,742,772,727,704,654,633,636,596,820,802
Interest Qtr Cr,858,868,840,716,722,813,756,824,800,728,819
Profit Before Tax Qtr Cr,1340,4752,7186,3937,3741,1455,7103,572,4534,-12368,994
Tax Qtr Cr,-334,595,713,658,405,14,1383,194,1570,-2082,103
Net Profit Qtr Cr,1674,4157,6473,3279,3336,1441,5720,378,2964,-10286,891
Basic EPS Qtr Rs,4.5,11.2,17.4,8.8,9,3.9,15.4,1,8,-27.6,2.4
