Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,609.7,764.7,770.5,766.9,359,632.4,464.3,488.4,365.8,595.9,645.6
Operating Expenses Qtr Cr,422.1,557.4,575.7,535.8,254.3,446.8,317,305.6,271.4,405.8,447.8
Operating Profit Qtr Cr,156.2,186.8,178.8,197.8,77.8,172.1,116.7,116.7,51,146.8,154.7
Operating Profit Margin Qtr %,27.01%,25.10%,23.70%,26.96%,23.43%,27.81%,26.90%,27.63%,15.83%,26.56%,25.68%
Depreciation Qtr Cr,12.8,22.6,12.8,11.7,11.3,11.7,11.2,11,11,11.6,10.2
Interest Qtr Cr,1.2,1.3,2.3,1.1,0.3,0.3,1.3,0.5,0.7,1.1,0.7
Profit Before Tax Qtr Cr,173.6,183.4,179.8,218.3,93.1,173.6,134.8,171.3,82.7,177.4,186.8
Tax Qtr Cr,44.3,53.5,46.1,55.2,22.6,39,35.9,40.5,22.5,46,47.1
Net Profit Qtr Cr,129.3,129.9,133.6,163.1,70.5,134.6,98.9,130.7,60.1,131.4,139.7
Basic EPS Qtr Rs,5.4,5.4,5.6,6.8,2.9,5.6,4,5.2,2.4,5.3,5.6
