Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,5033,4907,4031,4170,3972,2630,2953,3184,2691,2023,2504
Operating Expenses Qtr Cr,4100,3875,3600,3642,3281,2482,2458,2695,2107,1902,2024
Operating Profit Qtr Cr,896,466,425,496,670,146,463,467,544,129,478
Operating Profit Margin Qtr %,17.89%,10.77%,10.56%,11.99%,16.92%,5.59%,15.85%,14.77%,20.52%,6.35%,19.10%
Depreciation Qtr Cr,268,275,259,257,253,261,245,237,234,240,228
Interest Qtr Cr,99,98,95,91,93,73,75,76,83,72,64
Profit Before Tax Qtr Cr,543,674,71,180,336,-184,175,176,267,-201,188
Tax Qtr Cr,64,-29,14,34,66,-52,76,72,118,-75,43
Net Profit Qtr Cr,479,703,57,146,270,-132,99,104,149,-126,145
Basic EPS Qtr Rs,6.3,9.2,0.8,1.9,3.5,-1.7,1.3,1.4,1.9,-1.6,1.9
