Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020
Total Revenue Qtr cr,104.9,117.1,111.5,112.7,122.6,113,99.8,112.9,52.5
Operating Expenses Qtr Cr,62.8,66.7,61.1,59.2,64,55.6,51.6,60.1,36.7
Operating Profit Qtr Cr,39.2,47.1,47.2,50.3,55.3,53.9,45.4,50.4,13.7
Operating Profit Margin Qtr %,38.45%,41.38%,43.57%,45.90%,46.38%,49.18%,46.80%,45.59%,27.19%
Depreciation Qtr Cr,14.1,15.1,12.9,12.3,11.8,12.4,12.3,13.6,11.5
Interest Qtr Cr,4.7,4.3,4.1,3.9,3.9,3.4,3.5,4.2,3.7
Profit Before Tax Qtr Cr,23.3,30.9,33.4,37.2,42.9,41.6,32.4,35,0.7
Tax Qtr Cr,6.1,7.5,8.3,9.8,10.6,10.7,8.2,8.9,-1.1
Net Profit Qtr Cr,17.2,23.5,25,27.3,32.3,30.9,24.1,26,1.8
Basic EPS Qtr Rs,1.7,2.3,2.5,2.7,3.2,6.8,2.4,2.5,0.4
