Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2032.6,2073,1856.2,2078.3,2153.1,1991.9,1943.8,2117.7,1815.9,2212.4,1740.7
Operating Expenses Qtr Cr,1436.6,1561.7,1471.7,1524.6,1505.8,1414.6,1420.7,1429.3,1206.7,1292.6,1359.6
Operating Profit Qtr Cr,544.3,457.6,358.6,484.3,617.6,604.2,498.1,627.6,589.2,519.6,351.4
Operating Profit Margin Qtr %,27.48%,22.66%,19.59%,24.11%,29.09%,29.93%,25.96%,30.51%,32.81%,28.67%,20.54%
Depreciation Qtr Cr,123.1,122.8,120,119.2,116.7,115,113.1,112.1,110.9,112.3,109.8
Interest Qtr Cr,40.6,42,24.6,24.1,44.2,20.5,15.6,14.9,19.9,62.6,48.4
Profit Before Tax Qtr Cr,432.3,346.5,239.9,91.1,486.4,441.8,206.9,561.4,478.4,692.9,222.9
Tax Qtr Cr,100.8,99.6,42.9,77,86.5,-22.9,66.6,88.4,80.2,86.4,29.8
Net Profit Qtr Cr,331.5,246.9,197,14.1,399.9,464.7,140.3,473,398.2,619.3,213.6
Basic EPS Qtr Rs,3.2,2.4,1.9,0.1,3.9,4.5,1.4,4.6,3.9,6,2.1
