Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,395.5,444.6,391.2,400.2,228.6,433.8,318.3,321.8,149.5,297.5,325.6
Operating Expenses Qtr Cr,334.6,356.3,325.9,335.3,203,368.2,270.1,277.4,136,250.8,278.4
Operating Profit Qtr Cr,61.2,82.4,61.1,57.9,19.8,63.1,39.7,40.5,6.6,42.4,42.9
Operating Profit Margin Qtr %,15.45%,18.79%,15.79%,14.73%,8.90%,14.64%,12.82%,12.73%,4.65%,14.46%,13.36%
Depreciation Qtr Cr,7,7.8,7.8,7.6,7.3,8.4,8.4,8.3,8.1,9.1,8
Interest Qtr Cr,0.9,1.5,1,1,1,1.4,1,0.9,1,1.2,1.1
Profit Before Tax Qtr Cr,53,73.3,56.5,56.2,17.3,55.8,38.9,35.1,4.4,36.4,38.1
Tax Qtr Cr,13.3,21.2,14.2,14.2,4.3,12.8,9.8,8.8,1.5,-2,9.8
Net Profit Qtr Cr,39.6,52.1,42.3,42.1,12.9,43,29.1,26.3,2.9,38.5,28.4
Basic EPS Qtr Rs,30.5,40,32.5,32.4,9.9,33.1,22.4,20.2,2.2,29.6,21.8
