Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,736.2,699.8,641.9,597.8,575.8,525.2,492.2,434.6,413.9,452.3,444
Operating Expenses Qtr Cr,487.7,460.5,424.6,411.7,408.3,350.4,333.5,312.1,307.8,330.3,329.2
Operating Profit Qtr Cr,238.2,221.2,210.8,183.6,150,168,143.6,118.1,92.7,108.6,94.2
Operating Profit Margin Qtr %,32.81%,32.45%,33.18%,30.85%,26.86%,32.42%,30.10%,27.44%,23.15%,24.74%,22.24%
Depreciation Qtr Cr,17.1,15.9,14,13.5,11.9,11.3,11.1,11.2,10.8,10.8,11.2
Interest Qtr Cr,3.4,3.2,3,1.6,1.6,1.9,1.3,1.3,1.4,1.4,1.4
Profit Before Tax Qtr Cr,228,220.3,200.3,171,153.9,161.7,146.3,110,93.9,109.8,102.1
Tax Qtr Cr,43.3,60.3,49.4,45.7,40.6,46.5,41.1,31.1,25.1,27.7,26.6
Net Profit Qtr Cr,184.7,160,151,125.3,113.4,115.2,105.2,78.9,68.9,82.1,75.4
Basic EPS Qtr Rs,29.7,25.7,24.2,20.1,18.2,18.5,16.9,12.7,11.1,13.2,12.1
