Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021
Total Revenue Qtr cr,169029.9,211533.3,174661.6,180951,154157.9,189188
Operating Expenses Qtr Cr,162135.4,209584.7,174367.6,180144.1,152808.9,81648.2
Operating Profit Qtr Cr,3057.2,2833,-262.5,8978.1,1438.9,104597.4
Operating Profit Margin Qtr %,1.82%,1.34%,-0.15%,4.96%,0.93%,55.32%
Depreciation Qtr Cr,0,0,0,0,0,0
Interest Qtr Cr,0,0,0,0,0,0
Profit Before Tax Qtr Cr,4016.5,3040.7,129.4,9023.9,1582.5,104712.3
Tax Qtr Cr,1065.4,-58.3,3193.9,3187.1,1579.5,101815.7
Net Profit Qtr Cr,682.9,2371.6,234.9,1433.7,2.9,2893.5
Basic EPS Qtr Rs,1.1,3.8,0.4,2.3,0.3,4.6
