Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,782,979.3,1099.8,1064.1,792.3,774.4,1027.8,1019,644.1,670.6,868.3
Operating Expenses Qtr Cr,709.3,808.2,796.5,757,711.7,623.3,676,671.1,524.2,517.6,672.6
Operating Profit Qtr Cr,67.1,165,296.5,301.3,74.9,128.7,342.4,338.3,110.3,124.5,186.7
Operating Profit Margin Qtr %,8.64%,16.95%,27.12%,28.47%,9.52%,16.94%,33.62%,33.51%,17.38%,18.98%,21.73%
Depreciation Qtr Cr,14.2,13.1,12.9,12.7,12.6,11.3,12,11.8,13.2,11.8,11.5
Interest Qtr Cr,0.8,6.8,2.9,0.6,0.7,3,2.1,0.4,1,2.4,2.2
Profit Before Tax Qtr Cr,57.7,151.1,287.5,293.8,67.2,129.2,337.7,335.7,105.6,124.9,182
Tax Qtr Cr,15.2,48.2,75.4,75.5,18.3,30.9,87.1,81.8,36.4,33.8,46.1
Net Profit Qtr Cr,42.5,102.8,212.1,218.3,49,98.3,250.6,253.9,69.2,91.1,135.9
Basic EPS Qtr Rs,13.1,31.7,65.3,67.2,15.1,30.3,77.2,78.2,21.3,28.1,41.9
