Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1330.7,1276.1,1243.1,1240.3,1237,1111.7,1110.4,1076.9,1091.9,989.3,1106
Operating Expenses Qtr Cr,1034,961.2,955.3,962.4,952.7,890,853.5,814.1,830.9,822.8,838.5
Operating Profit Qtr Cr,270.4,293.8,269.1,259.7,265.1,205.5,241.8,240.7,233.4,138.4,239.7
Operating Profit Margin Qtr %,20.73%,23.41%,21.98%,21.25%,21.77%,18.76%,22.08%,22.82%,21.93%,14.40%,22.23%
Depreciation Qtr Cr,17.4,17.4,16.7,16.2,15.7,15.1,14.6,14.3,14.1,14.8,15.1
Interest Qtr Cr,4.2,5.1,4.4,4.5,5,4.7,4.3,4.8,4.5,2.8,1.9
Profit Before Tax Qtr Cr,275.2,292.3,266.6,257.2,263.6,201.9,237.9,243.7,242.5,148.9,250.6
Tax Qtr Cr,69.5,80.9,67.5,64.9,67.8,49.4,60.7,63,62.1,38,63.9
Net Profit Qtr Cr,205.6,211.4,199.2,192.3,195.8,152.5,177.1,180.7,180.3,111,186.7
Basic EPS Qtr Rs,96.8,99.5,93.7,90.5,92.1,71.8,83.4,85,84.9,52.2,87.8
