Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1444.9,1565.4,670.4,353.6,581.3,1314.4,584.4,233.4,193.5,1045.5,569.6
Operating Expenses Qtr Cr,1384.9,1479.7,622,337.6,545.4,1195.6,533.3,222.1,196.5,970,540.6
Operating Profit Qtr Cr,46.8,76.9,40.1,7.5,28.5,110.7,43.1,0.3,-5.7,76.1,27
Operating Profit Margin Qtr %,3.27%,4.94%,6.05%,2.17%,4.96%,8.48%,7.49%,0.12%,-2.99%,7.27%,4.76%
Depreciation Qtr Cr,23.2,22.2,19.8,19.6,18,16.4,17.3,17,16.8,16.1,15.5
Interest Qtr Cr,18,14.3,10.3,4.5,7.5,8.2,6.8,9.7,8.7,7.4,7.3
Profit Before Tax Qtr Cr,18.8,49.2,18.2,-8,10.4,94.3,27.1,-15.3,-28.6,52,6.2
Tax Qtr Cr,5.7,16.8,3.7,-2.4,3.5,33.7,8.8,-6.7,-9.8,-1.2,-5.4
Net Profit Qtr Cr,13.1,32.4,14.5,-5.7,6.9,60.6,18.3,-8.6,-18.7,53.2,11.5
Basic EPS Qtr Rs,3.9,9.6,4.3,-1.7,2,18,5.4,-2.7,-6,16.9,3.7
