Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1204.6,1239,1108.9,995.8,1092.9,952.9,940.7,709.7,549.3,669.5,889.4
Operating Expenses Qtr Cr,1125.2,1143.2,1066.4,940.9,1005.5,830.2,783.8,644.4,469.5,778.4,882.9
Operating Profit Qtr Cr,71.3,86.2,32.1,46.9,79.1,111.2,147.9,57.7,72,-117.5,-2.7
Operating Profit Margin Qtr %,5.96%,7.01%,2.93%,4.75%,7.30%,11.81%,15.87%,8.22%,13.30%,-17.78%,-0.31%
Depreciation Qtr Cr,8.9,9.2,9,9.1,9.2,8.9,8.8,8.8,8.9,10.4,8
Interest Qtr Cr,4.4,4.4,4.4,4.4,4.4,7.2,5.5,7.9,7.9,9.8,6.9
Profit Before Tax Qtr Cr,66.1,82.2,29.1,41.4,73.8,106.5,142.6,48.6,63,-129.1,-8.4
Tax Qtr Cr,16.8,24.9,7.5,10.7,18.7,28.6,36,12.3,16,-32.4,-2.6
Net Profit Qtr Cr,49.3,57.4,21.6,30.7,55.1,77.9,106.5,36.4,47,-96.7,-5.9
Basic EPS Qtr Rs,35,40.7,15.3,21.8,39.1,55.3,75.6,25.8,33.4,-68.7,-4.2
