Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021
Total Revenue Qtr cr,479.1,408.1,422.1,349.7,252.4,290.9
Operating Expenses Qtr Cr,372.3,320.8,322.8,298.9,218.1,240
Operating Profit Qtr Cr,101,77.5,91.9,43.3,24.9,44.5
Operating Profit Margin Qtr %,21.34%,19.47%,22.15%,12.67%,10.23%,15.63%
Depreciation Qtr Cr,54.3,49.3,43.2,42.7,45,50.5
Interest Qtr Cr,18.1,18.2,16.4,17,15.1,17.6
Profit Before Tax Qtr Cr,34.4,19.8,39.6,-8.8,-25.8,-17.3
Tax Qtr Cr,0,0,0,0,0,0
Net Profit Qtr Cr,34.4,19.8,39.6,-8.8,-25.8,-17.3
Basic EPS Qtr Rs,5.4,3.1,6.2,-1.4,-4.9,-3.3
