Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,120.1,125,111.3,170.7,161.9,141.6,135.1,153.9,55.9,96.1,99.3
Operating Expenses Qtr Cr,85.4,86.5,74.2,81.5,88.6,88.5,83.3,86.9,44.9,64.2,55.4
Operating Profit Qtr Cr,33.8,36.8,36,87.2,70.7,50.7,48.9,61.7,9.5,29.4,42.6
Operating Profit Margin Qtr %,28.35%,29.86%,32.67%,51.70%,44.38%,36.42%,36.97%,41.52%,17.48%,31.38%,43.48%
Depreciation Qtr Cr,7.6,8.6,7.4,6.7,5.8,5.7,5.6,5.2,4.5,5.5,4.8
Interest Qtr Cr,0.6,0.6,0.6,0.6,0.6,0,0.2,0.2,0.2,0.3,0.3
Profit Before Tax Qtr Cr,26.6,29.4,29.1,81.9,66.9,47.4,46,61.6,6.3,-18.3,38.9
Tax Qtr Cr,6.4,9,6.5,21.3,18.5,12.1,11.7,15.8,1.9,-0.2,9
Net Profit Qtr Cr,20.1,20.4,22.6,60.6,48.4,35.3,34.2,45.8,4.4,-18.1,29.9
Basic EPS Qtr Rs,3.8,3.9,4.3,11.4,9.2,6.7,6.5,8.7,0.8,-3.4,5.7
