Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020
Total Revenue Qtr cr,931.3,1168.2,1109,1131.7,1215.7,935,894.5,851.9,916.3,681.4
Operating Expenses Qtr Cr,586.7,754.6,714.1,703.8,717.6,560,595.2,533.8,471.6,395.4
Operating Profit Qtr Cr,270.2,348.4,349.3,376.6,436.3,327.7,264.2,297.7,412.6,239.9
Operating Profit Margin Qtr %,31.53%,31.59%,32.85%,34.86%,37.81%,36.92%,30.75%,35.80%,46.67%,37.76%
Depreciation Qtr Cr,34.9,31.1,27.8,26.1,25.3,24.9,25,24.7,24.2,24.1
Interest Qtr Cr,0.9,2,1.2,1,1,1,1.2,0.8,0.5,0.5
Profit Before Tax Qtr Cr,308.8,380.6,365.9,400.7,471.9,349,273.2,292.6,420,261.5
Tax Qtr Cr,79.3,94.6,92.5,98.6,121.2,88.5,69.1,73.8,106.4,66.7
Net Profit Qtr Cr,229.5,286,273.4,302.1,350.7,260.5,204.1,218.9,313.6,194.8
Basic EPS Qtr Rs,13.9,17.4,16.6,18.4,21.4,15.9,12.8,13.4,20.2,12.6
