Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,246.1,145.2,155.7,130.3,72.7,96.2,87.2,63.1,58.6,232.4,284.7
Operating Expenses Qtr Cr,142,109.6,115.9,87,73.9,87.8,70.3,57.5,55.9,180.5,165.8
Operating Profit Qtr Cr,97.4,30.4,38.6,34.4,-6.7,4.5,10.9,0.7,-3.3,42.2,112.4
Operating Profit Margin Qtr %,40.70%,21.71%,24.99%,28.33%,-10.00%,4.84%,13.46%,1.24%,-6.24%,18.94%,40.40%
Depreciation Qtr Cr,27.6,28.2,26.1,28,26.9,26.2,27,27.3,27.1,26.5,28.3
Interest Qtr Cr,38,34.6,32.6,38.1,34.7,33.9,35.8,37.4,38,38.3,33.9
Profit Before Tax Qtr Cr,37.5,-28.2,-19.7,-24.3,-63.8,-52.7,-47,-60.1,-63.4,-13.5,55.6
Tax Qtr Cr,10.4,-18.5,-12,-14,-27.5,-33.8,-20,-24.4,-31.1,-37.3,22.2
Net Profit Qtr Cr,27.1,-9.8,-13,-10.9,-36.6,-20.2,-26.9,-35.8,-32.3,23.8,33.4
Basic EPS Qtr Rs,1.3,-0.5,-0.6,-0.5,-1.8,-1,-1.3,-1.7,-1.6,1.2,1.6
