Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1049.3,888.8,927.7,962.9,556.2,805.8,929.5,717.6,282.7,490.1,702.4
Operating Expenses Qtr Cr,1010.8,895.6,897.7,888.6,586.4,747.4,815.5,632.9,311.8,484.1,660.1
Operating Profit Qtr Cr,33.9,-11.3,25.2,69.3,-33.9,51.9,107.2,82.2,-32.4,1.6,38.5
Operating Profit Margin Qtr %,3.25%,-1.27%,2.73%,7.24%,-6.14%,6.49%,11.62%,11.49%,-11.60%,0.33%,5.52%
Depreciation Qtr Cr,28.1,28.8,28.5,29.7,25.6,25.6,25.8,25.1,22.7,41.8,16.9
Interest Qtr Cr,7.2,8.1,7.9,7.7,7.3,4.5,8.8,8.2,7.8,8.4,2.8
Profit Before Tax Qtr Cr,3.1,-43.7,-6.3,36.9,-63,28.3,79.4,51.5,-59.7,-44.2,24.1
Tax Qtr Cr,1.1,-15.2,-2.1,12.2,-20.5,22,13,19.5,-16.7,-26,9.8
Net Profit Qtr Cr,2,-28.5,-4.2,24.7,-42.5,6.3,66.3,32,-43,-18.2,14.3
Basic EPS Qtr Rs,0.5,-7,-1,6.1,-10.5,1.6,16.4,7.9,-10.6,-4.5,3.5
