Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020
Total Revenue Qtr cr,71.3,74.6,63.9,49.2,40.3,47.7,44.6
Operating Expenses Qtr Cr,36.8,34,34.1,29.7,23.7,20.3,19
Operating Profit Qtr Cr,24.1,32.7,24.6,15.4,12.6,23,21.6
Operating Profit Margin Qtr %,39.59%,48.97%,41.86%,34.23%,34.60%,53.13%,53.24%
Depreciation Qtr Cr,1.8,1.9,1.9,1.7,1.5,1.5,1.5
Interest Qtr Cr,0.6,1.2,0.6,0.6,0.6,0.6,0.6
Profit Before Tax Qtr Cr,32,37.5,27.3,17.3,14.4,25.3,23.5
Tax Qtr Cr,7.7,8.4,5.7,3.6,2.9,4.9,4.6
Net Profit Qtr Cr,24.4,29,21.6,13.7,11.5,20.3,18.9
Basic EPS Qtr Rs,1.2,1.5,1.2,0.8,0.6,1.2,1.1
