Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,9697,9074,8269,6433,6880,7242,6483,6050,4673,4861,5117
Operating Expenses Qtr Cr,4249,3834,3620,2787,2973,3072,2764,2708,2413,2427,2383
Operating Profit Qtr Cr,5138,4963,4370,3335,3558,3875,3269,2952,1576,1964,2289
Operating Profit Margin Qtr %,54.74%,56.42%,54.69%,54.48%,54.48%,55.78%,54.19%,52.16%,39.51%,44.73%,48.99%
Depreciation Qtr Cr,731,816,741,702,658,696,639,652,544,553,597
Interest Qtr Cr,44,66,50,82,92,131,135,68,52,16,42
Profit Before Tax Qtr Cr,4673,4358,3858,2862,3023,3343,2945,2622,1664,1865,2095
Tax Qtr Cr,1580,1429,1157,845,1040,862,745,682,305,526,475
Net Profit Qtr Cr,3093,2929,2701,2017,1983,2481,2200,1940,1359,1339,1620
Basic EPS Qtr Rs,7.3,6.9,6.4,4.8,4.7,5.9,5.2,4.6,3.2,3.2,3.8
