Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,852.3,775.1,661.3,630.3,560.6,528.6,456.1,488.1,362,435.4,437.5
Operating Expenses Qtr Cr,776.6,703.8,615.6,578.7,496.8,455.1,381.9,397.7,302.7,362.5,373.2
Operating Profit Qtr Cr,79.6,89,40.8,45.9,58.1,71.7,72.5,91.8,57.1,71.5,69
Operating Profit Margin Qtr %,9.30%,11.22%,6.21%,7.35%,10.46%,13.61%,15.95%,18.76%,15.86%,16.48%,15.61%
Depreciation Qtr Cr,11.8,11.2,10.9,10.8,10.9,18.1,10.8,10.7,10.3,10,10.8
Interest Qtr Cr,2.6,2,1.6,2.3,1.9,2,1.3,1.9,3.2,3.6,4.3
Profit Before Tax Qtr Cr,61.2,58.2,33.2,38.6,51,53.4,62.2,77.8,45.9,59.3,49.2
Tax Qtr Cr,15.7,15.6,8.8,9.9,12.9,14,15.8,20,11.7,13.6,12.7
Net Profit Qtr Cr,45.5,42.6,24.4,28.7,38.1,39.4,46.5,57.8,34.2,45.8,36.5
Basic EPS Qtr Rs,12.8,12,6.9,8.1,10.8,11.1,13.1,16.3,9.6,12.9,10.3
