Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020
Total Revenue Qtr cr,87.7,63.9,89,59.8,34.8,69.3,47.3,22.3,12,39.5
Operating Expenses Qtr Cr,42.2,29.6,34.2,22.8,13.4,24.5,17,12.7,8.2,31.8
Operating Profit Qtr Cr,41.5,29.5,51.5,20.9,5.3,32.9,18.8,-2.8,-4.7,-0.2
Operating Profit Margin Qtr %,49.55%,49.92%,60.10%,47.76%,28.44%,57.29%,52.58%,-28.19%,-131.74%,-0.53%
Depreciation Qtr Cr,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Interest Qtr Cr,0.2,0.7,0.5,0.3,0.1,1.9,0.8,0.5,0,0.7
Profit Before Tax Qtr Cr,45,33.3,54,36.5,21.2,42.8,29.3,8.9,3.6,6.8
Tax Qtr Cr,11.3,9.4,13.8,9.3,5.4,11.6,7,2.7,1,1.9
Net Profit Qtr Cr,33.7,23.9,40.3,27.3,15.7,31.2,22.3,6.2,2.6,4.9
Basic EPS Qtr Rs,1.6,1.1,3.7,2.5,1.4,2.9,2.1,0.8,0.2,0.5
