Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2800.4,2189.9,2422.8,2229.8,1728.1,1868.9,1976.2,1652.7,792,1335.1,1702.5
Operating Expenses Qtr Cr,2302.5,1742.3,1938.2,1734.4,1326.6,1449.3,1384,1158.4,677,1033.4,1234
Operating Profit Qtr Cr,487.2,342.1,478.1,479,299.5,407.7,572.7,471.9,95.4,285.2,429.4
Operating Profit Margin Qtr %,17.46%,16.41%,19.79%,21.64%,18.42%,21.96%,29.27%,28.94%,12.35%,21.63%,25.81%
Depreciation Qtr Cr,50.4,45.9,44.4,44.3,40.5,39.3,37.1,35.9,34.8,35.7,31.8
Interest Qtr Cr,4.4,4.9,6.7,8.7,6.2,4.4,6.2,3,3.4,3.7,3.4
Profit Before Tax Qtr Cr,443.1,396.8,433.5,442.4,354.8,375.9,548.9,455,76.9,225.3,433.4
Tax Qtr Cr,109.7,78.6,111,103,66.3,99.3,139.4,116.2,20.2,65.7,103
Net Profit Qtr Cr,333.4,318.2,322.5,339.4,288.5,276.5,409.4,338.8,56.7,159.6,330.4
Basic EPS Qtr Rs,6.6,6.3,6.3,6.7,5.7,5.4,8.1,6.7,1.1,3.1,6.5
