Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020
Total Revenue Qtr cr,8.7,8.6,8.1,7.3,8.9,7.6,8.6,9.5,16.3,15.9
Operating Expenses Qtr Cr,7.9,8.6,9.8,16.6,8.4,10,7.7,6.4,6.9,8.2
Operating Profit Qtr Cr,-3.2,-20.2,-3.5,-12.4,-7,-7.9,-2.3,2.5,3.5,1.7
Operating Profit Margin Qtr %,-68.09%,-577.14%,-55.56%,-295.24%,-109.38%,-123.54%,-31.91%,27.69%,33.65%,12.53%
Depreciation Qtr Cr,0.7,0.6,1.2,0.9,1.1,1.5,1.3,1.1,1.5,1.8
Interest Qtr Cr,0,0.2,0,0,0,0,0,0.1,0,0.1
Profit Before Tax Qtr Cr,0.1,-15.9,-2.9,-10.2,-5.6,-8.2,-2.3,1.8,7.9,2.2
Tax Qtr Cr,-0.4,2.8,-0.5,-2.3,-0.8,-2.7,0.1,0.2,0.7,1.6
Net Profit Qtr Cr,0.5,-18.7,-2.4,-7.9,-4.8,-5.5,-2.4,1.6,7.2,0.6
Basic EPS Qtr Rs,0.1,-5.8,-0.8,-2.6,-1.6,-1.9,-0.8,0.5,2.6,0.2
