Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2130.8,1986.3,2054.3,2018.5,2112.1,1878.8,1987.8,1769.7,1651.1,1352,1488.3
Operating Expenses Qtr Cr,1770,1660.8,1749.8,1718.8,1692,1708,1765.6,1482.4,1279.8,1174.9,1256.6
Operating Profit Qtr Cr,306.8,287.6,280.6,268.7,273.9,142.1,197.1,253.7,325.7,160.4,206.9
Operating Profit Margin Qtr %,14.77%,14.76%,13.82%,13.52%,13.93%,7.68%,10.04%,14.61%,20.29%,12.01%,14.14%
Depreciation Qtr Cr,35.1,35,35.7,36.1,34.9,33.4,32.4,30.8,29.6,33,29.4
Interest Qtr Cr,7.1,7.2,7.3,7.7,7.7,7.9,7.2,6.5,6.5,6.8,7.2
Profit Before Tax Qtr Cr,307.4,272.6,252,248.8,377.6,115,176.1,230.7,314.3,95.9,194.3
Tax Qtr Cr,74.6,66.4,64.5,60.5,73.9,33.4,40,61.3,82,24.9,51.3
Net Profit Qtr Cr,232.8,206.2,187.5,188.3,303.7,81.7,136.1,169.4,232.3,70.9,143
Basic EPS Qtr Rs,2.5,2.2,2,2,3.3,0.9,1.5,1.8,2.5,0.8,1.6
