Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,16645.3,18918.2,15741.3,15249.2,14371.8,13793.2,13195.1,12875,12819,13690.9,13217.1
Operating Expenses Qtr Cr,13161,12314.5,12130.8,11651.6,11066.3,9681,9397.7,9568.5,9598.4,10500.4,9955.8
Operating Profit Qtr Cr,3094.6,3271.1,3147.9,3068.4,2923.8,3579,3198.4,2681.9,2594.5,2626.8,2740.1
Operating Profit Margin Qtr %,19.04%,20.99%,20.60%,20.85%,20.90%,26.99%,25.39%,21.89%,21.28%,20.01%,21.58%
Depreciation Qtr Cr,394.9,395,377.8,357.9,355,343.3,333.4,350.9,321.7,309,293.7
Interest Qtr Cr,145.7,119.2,100.1,104.9,43.2,87.5,112.5,102.6,100,118.8,134.9
Profit Before Tax Qtr Cr,2943.7,6089.5,3132.6,3134.8,2907.3,3681.4,3351.5,2853,2798.9,2762.7,2832.7
Tax Qtr Cr,727.1,610.7,667.6,747.4,1103.2,668.4,740.2,609,606.3,604.4,571.4
Net Profit Qtr Cr,2216.6,5478.8,2465,2387.4,1804.1,3013,2611.3,2244,2192.6,2158.3,2261.3
Basic EPS Qtr Rs,4,10,4.5,4.4,3.3,5.5,4.6,3.9,3.9,3.8,4
