Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,327.3,365.7,367.9,311,229.6,251.2,251.6,213.2,206.6,241.9,272.9
Operating Expenses Qtr Cr,303.2,325,332.1,266.5,190.2,215.7,203.2,159.9,179.9,203.5,232.4
Operating Profit Qtr Cr,20.2,36.5,32,27.9,36.8,33,47.8,35.6,16.7,36.3,39.4
Operating Profit Margin Qtr %,6.24%,10.09%,8.79%,9.46%,16.21%,13.27%,19.04%,18.22%,8.52%,15.13%,14.48%
Depreciation Qtr Cr,1.7,1.7,1.7,1.6,1.5,1.4,1.4,1.8,2.5,46.6,55.6
Interest Qtr Cr,0.1,0,0.1,0,0,0.1,0,0,0.1,1.2,1.2
Profit Before Tax Qtr Cr,22.4,39,34.1,42.9,37.8,73.8,46.9,51.5,24.2,-58.2,-16.3
Tax Qtr Cr,4.8,10.1,7.5,8.3,9.3,7.5,12.7,7.9,9.8,-0.4,-4.1
Net Profit Qtr Cr,17.6,29,26.6,34.6,28.5,66.3,34.2,43.6,14.4,-57.8,-12.2
Basic EPS Qtr Rs,1.3,2.1,2,2.5,2.1,4.9,2.5,3.1,0.9,-4,-0.8
