Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020
Total Revenue Qtr cr,2253.2,3367.4,1429.2,1979.6,1563.2,2751.8,807.4,618.4,268.5,1855.8
Operating Expenses Qtr Cr,1860.2,2493.6,1060.6,1618.2,1159.5,1826.8,611.4,515.7,360.5,1507
Operating Profit Qtr Cr,379.2,823.5,337.2,341.8,354.9,893.3,154.2,59.6,-121.9,228.1
Operating Profit Margin Qtr %,16.93%,24.83%,24.12%,17.44%,23.44%,32.84%,20.14%,10.36%,-51.09%,13.15%
Depreciation Qtr Cr,21.2,14.3,14,12,12.1,13.8,15,14.6,13.9,85.3
Interest Qtr Cr,198.6,106.4,70.4,70.2,148.1,222.8,200.3,223.8,171,187.7
Profit Before Tax Qtr Cr,173.3,753.1,284.2,279.4,243.6,688.3,-19.3,-595.8,-276.9,-109.1
Tax Qtr Cr,34.7,249.3,75.4,72.1,62.8,288.7,-0.1,-208.6,-98,-48.6
Net Profit Qtr Cr,138.7,503.8,208.8,207.3,180.7,399.6,-19.3,-387.3,-178.8,-60.6
Basic EPS Qtr Rs,2.9,10.5,4.5,4.6,4.1,10.1,-0.5,-9.8,-4.5,-1.5
