Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,290,496,311.6,314.6,282.1,268.1,262.7,309.9,187.3,174.8,348.5
Operating Expenses Qtr Cr,236,288,293.5,301,261.8,283.5,261,307.3,273.1,222.5,340
Operating Profit Qtr Cr,5,186,15.1,9.5,17.2,-21.8,-8.1,-12.3,-95.5,-60.3,-11.2
Operating Profit Margin Qtr %,2.07%,39.24%,4.89%,3.05%,6.16%,-8.32%,-3.19%,-4.17%,-53.81%,-37.19%,-3.42%
Depreciation Qtr Cr,47,43,42.9,43.2,42.5,52.3,42.7,43,46.1,44.5,43.8
Interest Qtr Cr,61,78,79.2,60,55.4,45.5,49.2,47,58.6,58,51.5
Profit Before Tax Qtr Cr,-54,87,-104,-89.5,-77.6,-113.2,-90.3,-87.3,-333,-150.2,-86.9
Tax Qtr Cr,-17,47,-36.9,-25.8,-28.9,-66.2,-21.6,-29.9,-114,-52,-17
Net Profit Qtr Cr,-37,40,-67.1,-63.7,-48.7,-47,-68.7,-57.4,766.4,-78.5,-69.8
Basic EPS Qtr Rs,-2.6,3.2,-6.1,-5.8,-4.4,-4.2,-6.2,-5.2,69.2,-7.1,-6.3
