Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020
Total Revenue Qtr cr,539.2,541.6,444.1,303.4,264,99.8,439,232.8,72.2
Operating Expenses Qtr Cr,411.7,377.6,323.5,205.9,177.5,40.4,308.6,122.4,55.8
Operating Profit Qtr Cr,126.9,118.5,115.6,97.3,86.5,29.5,130.4,64.2,15.9
Operating Profit Margin Qtr %,23.56%,23.88%,26.33%,32.08%,32.78%,42.22%,29.70%,34.39%,22.14%
Depreciation Qtr Cr,37.1,34.6,32.9,16.5,13.3,3.8,21.2,11.1,10.6
Interest Qtr Cr,2.7,3.2,3.1,2.2,7.9,8,6.9,6.8,7.3
Profit Before Tax Qtr Cr,87.8,126.3,84.7,78.8,78.5,33.8,102.3,92.4,-1.5
Tax Qtr Cr,22.1,1.8,8.6,20,20.1,0.6,28.7,9.8,-0.3
Net Profit Qtr Cr,65.6,124.4,76.1,58.7,58.4,33.1,73.6,82.5,-1.2
Basic EPS Qtr Rs,1.1,2.1,1.3,1,1,0.6,1.3,1.4,0
