Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020
Total Revenue Qtr cr,808.5,910.3,876.1,535.3,695.2,470.8,396.3,392.9,355.5,342.8
Operating Expenses Qtr Cr,714,849.4,772.3,502.2,553,411.9,333.9,341.3,316.6,316.2
Operating Profit Qtr Cr,89.7,56.8,101.9,24,136.7,55.6,59.7,50.1,37.1,23.8
Operating Profit Margin Qtr %,11.16%,6.27%,11.65%,4.57%,19.82%,11.89%,15.16%,12.81%,10.49%,6.99%
Depreciation Qtr Cr,12.1,11.7,11.4,11,10.6,11.6,11.6,11.2,10.9,14.2
Interest Qtr Cr,2,4.3,5.8,0.9,2.5,4.8,3.6,3.3,3.6,4.6
Profit Before Tax Qtr Cr,80.5,44.8,86.5,21.2,129.1,42.6,47.1,37.2,24.4,8.3
Tax Qtr Cr,19.6,3.8,5.4,10.9,30.4,11.3,6.5,5.1,5.8,-5
Net Profit Qtr Cr,60.9,41,81.1,10.3,98.7,31.2,40.6,32.1,18.6,13.3
Basic EPS Qtr Rs,2.3,1.6,3.1,0.4,3.7,1.3,1.8,1.2,0.8,0.6
