Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1208.3,1310.1,1285.8,1358.9,1171.2,1289.8,1241.8,1293,1046.9,1090.9,1153
Operating Expenses Qtr Cr,871.1,871.9,899.6,951.7,810.8,861.4,861.3,876.2,732.6,808.4,831.1
Operating Profit Qtr Cr,325.7,429.4,380.6,400.8,355.2,421.8,370.6,409.3,308,262.9,316.1
Operating Profit Margin Qtr %,27.21%,33.00%,29.73%,29.63%,30.47%,32.87%,30.08%,31.84%,29.60%,24.54%,27.55%
Depreciation Qtr Cr,44.2,43.8,43.9,44.9,44.7,45.5,45.6,46.1,45.4,46.2,51.5
Interest Qtr Cr,1.3,1.4,1.5,1.5,1.5,1.6,1.9,1.8,2,2,2.9
Profit Before Tax Qtr Cr,282.4,393.1,340.8,360.9,314.2,381.4,333,368.9,266.9,234.4,267.4
Tax Qtr Cr,72.7,69.5,88.5,91.7,81,66.7,84.7,94.7,68.7,30.2,68.3
Net Profit Qtr Cr,209.7,323.6,252.3,269.2,233.2,314.7,248.4,274.2,198.2,204.2,199.1
Basic EPS Qtr Rs,7.7,11.9,9.3,9.9,8.6,11.6,9.1,10.1,7.3,7.5,7.3
