Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,937.6,982.5,966.2,714.6,687.9,670.8,694.7,701.6,550.7,1012.3,688.5
Operating Expenses Qtr Cr,710.6,753.4,683.4,544.7,523.9,526.8,504.3,487.4,356.4,552.9,492.2
Operating Profit Qtr Cr,186.4,170,153,129.8,123.4,119.5,150.9,193.3,134.5,159,157.2
Operating Profit Margin Qtr %,20.78%,18.41%,18.30%,19.25%,19.06%,18.49%,23.04%,28.39%,27.39%,22.34%,24.20%
Depreciation Qtr Cr,20.4,20.7,24.2,21.2,23.7,21.5,22.4,22.7,24.5,26.3,24.6
Interest Qtr Cr,1,-0.2,2.4,0.8,0.7,0.6,0.9,1.2,1.3,1.3,1.2
Profit Before Tax Qtr Cr,205.6,208.6,256.2,147.9,139.7,121.9,167.1,190.4,168.6,431.8,170.5
Tax Qtr Cr,52.1,52.1,42.7,37.6,35.6,30.6,42.1,47.3,43.1,42,37.3
Net Profit Qtr Cr,153.5,156.5,213.5,110.3,104.1,91.2,125,143.1,125.5,389.8,133.3
Basic EPS Qtr Rs,16.3,16.6,22.6,11.7,11,9.7,13.3,15.2,13.3,41.3,14.1
