Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,243.5,245.4,239.4,199.4,203.1,249.5,177.9,207.2,179.9,181.2,184.7
Operating Expenses Qtr Cr,200.3,202.7,198.9,170.7,163.3,193.6,138.8,174.1,160.4,166.6,151.3
Operating Profit Qtr Cr,31.9,24.4,21.6,19.1,16.1,24.1,19,11.5,15.2,0.7,14.8
Operating Profit Margin Qtr %,13.72%,10.76%,9.78%,10.08%,8.98%,11.05%,12.06%,6.21%,8.66%,0.44%,8.92%
Depreciation Qtr Cr,5.9,6.1,6,6.3,6,6,6.1,6.1,6,6.5,6.2
Interest Qtr Cr,1.1,1.2,1.3,1,1,0.9,1.1,1.4,1.4,1.7,1.9
Profit Before Tax Qtr Cr,36.1,34.5,33.2,21.3,32.7,48.9,32,25.6,12.1,6.4,31
Tax Qtr Cr,6.1,7.6,4.7,3,4.6,8.7,4.2,3.3,1.6,2.4,6.7
Net Profit Qtr Cr,30,26.8,28.6,18.3,28.2,40.2,27.8,22.3,10.5,4,24.4
Basic EPS Qtr Rs,1.6,1.4,1.5,1,1.5,2.1,1.5,1.2,0.6,0.2,1.3
