Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2805.8,2581,2425,2434.9,1901.6,2282.2,2222.4,1969.3,1084.2,1530.1,1714.2
Operating Expenses Qtr Cr,2638.9,2391.1,2273.9,2216.1,1732.2,2023.7,1886.7,1674.6,967.4,1333.7,1527.4
Operating Profit Qtr Cr,164.2,185.3,132.2,216.3,165.5,255.3,325.8,290.5,99.2,189.9,181.2
Operating Profit Margin Qtr %,5.86%,7.19%,5.50%,8.89%,8.72%,11.20%,14.73%,14.78%,9.30%,12.47%,10.60%
Depreciation Qtr Cr,111.4,109.5,108.5,120.6,96.5,89.9,87.3,83.9,73,69.2,64.8
Interest Qtr Cr,51.4,56,54,48.7,45.3,39.2,41.2,44.4,42.8,33.8,30.1
Profit Before Tax Qtr Cr,3.5,18.5,-18,49.1,27.7,129.4,195.1,166.4,-20.7,65.2,91.8
Tax Qtr Cr,0.9,5.2,-3.1,13.1,7.7,-12.5,67.5,-3.7,-6.1,9.4,29.7
Net Profit Qtr Cr,2.5,13.3,-14.9,36,19.9,141.8,127.5,170.2,-14.6,55.8,62
Basic EPS Qtr Rs,0.6,3.3,-3.7,8.9,4.9,35.1,31.5,42.1,-3.6,13.8,15.3
