Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,151.4,122.2,136.8,178.8,146.8,130.2,127.1,120.2,123.8,133.1,162.6
Operating Expenses Qtr Cr,70.3,73.5,74.7,89,71.2,79.6,66.2,60.7,62.3,61.6,96.7
Operating Profit Qtr Cr,46.1,38.4,53.5,71.4,56.3,43.3,57,56.2,57.5,38.5,57.5
Operating Profit Margin Qtr %,39.62%,34.31%,41.71%,44.51%,44.16%,35.22%,46.27%,48.08%,47.98%,38.49%,37.30%
Depreciation Qtr Cr,6.4,7,6.3,6.3,6.2,6,5.6,5.4,5.4,5.7,5.3
Interest Qtr Cr,0,0,0,0,0,0,0,0,0.1,0.1,0
Profit Before Tax Qtr Cr,74.7,41.7,55.7,83.5,69.4,44.6,55.3,54,56,65.8,60.6
Tax Qtr Cr,11.5,12.7,16.6,18.3,14.9,13.2,13.8,12.7,14,15.7,13
Net Profit Qtr Cr,63.2,29,39.1,65.2,54.5,31.5,41.5,41.3,42,50.1,47.6
Basic EPS Qtr Rs,8.3,3.8,5.2,8.6,7.2,4.2,5.5,5.5,5.5,6.6,6.3
