Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,259.4,262.5,213.7,245.3,267.4,280.4,226.8,244.4,113.2,188.9,174.7
Operating Expenses Qtr Cr,196,172.3,164.5,171.8,186,157.9,152.4,164.3,102.1,126.2,124.7
Operating Profit Qtr Cr,61,45.7,47.8,70.2,78.1,80.5,72,78.3,8.7,37,48.2
Operating Profit Margin Qtr %,23.74%,20.97%,22.51%,29.00%,29.58%,33.75%,32.08%,32.27%,7.81%,22.65%,27.87%
Depreciation Qtr Cr,20.4,11.9,11.5,11.7,10.6,11.2,8.7,8.7,7.6,8.5,8.2
Interest Qtr Cr,7.5,5.4,4.2,2.3,5,2,1.2,1.3,1.3,1.6,1.8
Profit Before Tax Qtr Cr,35.6,72.9,33.5,59.5,81.7,109.4,64.5,70.1,2.1,34.9,40
Tax Qtr Cr,7.2,9.8,8.6,15,22.2,15.1,15.8,17.7,-0.1,5.2,7.7
Net Profit Qtr Cr,28.4,63.1,24.9,44.5,59.5,94.3,48.7,52.4,2.2,29.8,32.3
Basic EPS Qtr Rs,5.5,12.3,4.9,8.7,11.6,18.5,9.6,11.5,0.4,5.9,6.4
