Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2936.3,2775.1,2703.4,2179.6,1923.1,2205.4,2154,2033.3,1909,1916.5,2200.8
Operating Expenses Qtr Cr,2476.5,2120.1,2094.6,1871,1636.4,1811.9,1737.6,1798.5,1726.2,1558,1876.5
Operating Profit Qtr Cr,431.5,625.3,583.3,287.2,269.4,361.9,399.2,216.8,159.9,348.4,289.1
Operating Profit Margin Qtr %,14.84%,22.78%,21.78%,13.31%,14.14%,16.65%,18.68%,10.76%,8.48%,18.28%,13.35%
Depreciation Qtr Cr,59.7,59.8,59.6,58.7,56.4,57.6,54.9,59,58.3,59,54.6
Interest Qtr Cr,16.6,17.3,17.2,23.2,27.4,24.6,25.6,27.5,44,42.9,38.3
Profit Before Tax Qtr Cr,383.5,577.9,532,226.7,202.9,311.3,335.8,148.2,80.5,256.6,231.4
Tax Qtr Cr,131.2,180.4,185.5,70.4,54.5,78.1,84.1,33.1,18,43.9,40
Net Profit Qtr Cr,252.3,397.4,346.6,156.3,148.4,233.2,251.7,115.1,62.5,212.7,191.4
Basic EPS Qtr Rs,16.2,25.5,22.2,10,9.5,14.9,16.1,7.4,4,13.6,12.3
