Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1630.4,1549.8,1532.2,1341.5,1249.4,1249.2,1180.8,1042,1042.1,1239.1,1255.4
Operating Expenses Qtr Cr,1602.4,1520.3,1501.7,1311.9,1221,1219.2,1152,1013.1,1017.5,1206.2,1223.2
Operating Profit Qtr Cr,13.9,21.3,23.1,21.3,19.8,16.4,15.4,15.5,16.8,15.6,21.6
Operating Profit Margin Qtr %,0.86%,1.38%,1.52%,1.60%,1.60%,1.33%,1.32%,1.50%,1.62%,1.28%,1.73%
Depreciation Qtr Cr,4.2,4.9,4.5,5.5,3.3,3.3,3.6,4.1,4.1,4,4
Interest Qtr Cr,0.6,0.6,1,1.3,0.7,1.1,1,1.6,2,2.8,2.1
Profit Before Tax Qtr Cr,23.3,28.8,25,-52.1,22.6,25.6,24.1,23.2,18.4,26,26.1
Tax Qtr Cr,-0,0.4,0.1,0.8,0.6,2,2.2,2.4,0.7,54.7,-1
Net Profit Qtr Cr,23.3,28.5,24.9,-52.9,22,23.7,21.9,20.8,17.7,-28.7,27.1
Basic EPS Qtr Rs,13.6,16.7,14.6,-30.9,12.9,13.8,12.8,12.2,10.3,-16.8,15.9
