Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1940.1,2003.6,1981.6,1417.2,806.7,1268.7,1390.3,1606.4,1346.2,1318.7,993.7
Operating Expenses Qtr Cr,1868.4,1736.5,1805.3,1339.8,880.9,1011.9,1270.8,1489.6,1203.9,1287.9,943.4
Operating Profit Qtr Cr,51.3,248,161.2,39.9,-85.7,240,101.1,100.8,125.2,20.2,32.2
Operating Profit Margin Qtr %,2.67%,12.50%,8.20%,2.89%,-10.78%,19.17%,7.37%,6.34%,9.42%,1.54%,3.30%
Depreciation Qtr Cr,56.5,49.9,46.7,52.5,51.9,50.8,50.8,50.2,49.5,50.7,52
Interest Qtr Cr,118.6,94.7,86,92.6,102.2,96.7,88.4,85.3,98.3,105.2,118.7
Profit Before Tax Qtr Cr,-103.4,132,43.6,174.2,-228.3,115.6,-5.9,111.1,-5.5,-115.2,-120.4
Tax Qtr Cr,0,-7.9,0.2,16.1,0,1,129.6,23.5,5.5,52.3,68.3
Net Profit Qtr Cr,-103.4,139.9,43.4,158.1,-228.3,114.6,-135.5,87.6,-11,-167.5,-188.7
Basic EPS Qtr Rs,-0.5,0.7,0.2,0.7,-1.1,0.5,-0.6,0.4,-0.1,-0.9,-1
