Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,819.8,639.9,1053.8,988.5,879.6,1348.2,824.6,499.1,653.9,1633.8,959.8
Operating Expenses Qtr Cr,905.8,687.4,1057.9,1027.6,911.1,1463.6,773.1,500.2,650.1,1385.3,870.4
Operating Profit Qtr Cr,-112.5,-68.7,-22.4,-68.7,-64.8,-162.8,17.8,-39.6,-27,89.6,2.7
Operating Profit Margin Qtr %,-14.18%,-11.10%,-2.16%,-7.16%,-7.65%,-12.51%,2.25%,-8.61%,-4.33%,6.07%,0.31%
Depreciation Qtr Cr,1.7,1.5,3.2,1.6,1.6,2.3,2.2,1.8,1.9,1.4,1.8
Interest Qtr Cr,14.2,18.9,27.6,16.8,12,17,16,16.1,18.7,18.5,45.8
Profit Before Tax Qtr Cr,-102,-67.9,-34.9,-57.6,-45.1,-134.8,33.4,-19,-16.8,228.7,41.8
Tax Qtr Cr,2.1,-9.8,-2.6,-15.5,-9.9,-36.2,10.7,-0.9,-3.4,50.3,11.4
Net Profit Qtr Cr,-104,-58,-32.3,-42,-35.2,-98.6,22.7,-18.1,-13.3,178.4,30.4
Basic EPS Qtr Rs,-5.5,-3.6,-2,-2.6,-2.2,-6.2,1.4,-1.1,-0.8,11.1,1.9
