Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,19611,19138,18198,17453,13399,14465,11536,9684,7666,10200,10369
Operating Expenses Qtr Cr,16589,15707,15294,14157,11200,12926,10172,8530,6847,8851,9217
Operating Profit Qtr Cr,2927,3264,2800,3038,2096,1487,1182,852,573,1141,1013
Operating Profit Margin Qtr %,15.00%,17.21%,15.47%,17.57%,15.76%,10.32%,10.41%,8.95%,7.72%,11.42%,9.90%
Depreciation Qtr Cr,451,449,437,424,442,442,414,427,425,442,428
Interest Qtr Cr,333,356,371,343,347,331,352,361,425,401,406
Profit Before Tax Qtr Cr,2277,2521,2094,2434,1408,790,532,318,-66,506,307
Tax Qtr Cr,829,920,706,826,498,295,192,120,-26,180,114
Net Profit Qtr Cr,1448,1601,1388,1608,910,495,340,198,-40,326,193
Basic EPS Qtr Rs,6.5,7.2,6.2,7.2,4.1,2.2,1.5,0.9,-0.2,1.5,0.9
