Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1051.6,1094.4,1073.6,755.5,912.3,705.2,592.2,401.9,454.9,442.5,454
Operating Expenses Qtr Cr,943.3,1025.2,976.8,689.3,629.5,657.8,467.3,351.2,310.7,404.1,331.9
Operating Profit Qtr Cr,98.1,56.4,87.7,54.8,72,39.3,38.7,41.1,64.3,24.2,41.7
Operating Profit Margin Qtr %,9.42%,5.21%,8.24%,7.36%,10.27%,5.64%,7.66%,10.49%,17.14%,5.66%,11.17%
Depreciation Qtr Cr,18.9,21.4,22.8,23.4,23.6,23.8,25.4,26.4,27,29.9,30.2
Interest Qtr Cr,10.4,10.4,10.9,11.9,11.7,9.4,11.9,18,22.7,24.5,12.9
Profit Before Tax Qtr Cr,106.9,40,63,32.6,297.3,14.2,87.5,6.3,91,6.3,210.4
Tax Qtr Cr,37.5,-7,14.3,6.9,47.7,0.2,17.2,-6.1,-3.6,-9.5,50.8
Net Profit Qtr Cr,70.1,42.4,48.7,25.8,249.6,13.9,70.3,12.5,94.7,15.8,159.6
Basic EPS Qtr Rs,2.8,1.7,2,1.1,10.2,0.6,2.9,0.5,3.9,0.6,6.5
