Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1303.5,1174.4,1262.5,1130,870.6,972.3,1037.3,866.4,416.4,726.6,859
Operating Expenses Qtr Cr,1102.5,948,1050.9,925,781.4,792.2,861.5,716.9,532.4,708.5,788.7
Operating Profit Qtr Cr,190.8,217.9,203.9,198.6,83.4,173.9,173.4,147.5,-118.2,15.7,66.9
Operating Profit Margin Qtr %,14.75%,18.69%,16.25%,17.67%,9.65%,18.00%,16.75%,17.07%,-28.54%,2.17%,7.82%
Depreciation Qtr Cr,39.7,39.4,43,43.3,43,52.3,54.7,50.9,42.8,43.7,38.3
Interest Qtr Cr,4.7,5.9,5.4,5.9,6.8,7.8,7.7,8.8,7.5,7.8,7.6
Profit Before Tax Qtr Cr,156.6,181.1,163.2,119.8,39.4,120,121.6,55.6,-166.2,-33.3,-39.8
Tax Qtr Cr,39.4,45.7,41,30.3,10,31,27.8,14.2,-38.3,-9.5,-6.7
Net Profit Qtr Cr,117.2,135.4,122.2,89.5,29.4,89.1,93.8,41.4,-127.9,-23.8,-33.1
Basic EPS Qtr Rs,49.4,57.1,51.5,37.7,12.4,37.5,39.5,17.4,-53.9,-10,-13.9
