Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,605.3,901.3,665.7,762.5,332.8,765.8,553.6,461.9,307.7,435.9,396.7
Operating Expenses Qtr Cr,560.2,760.7,552.9,638.3,289.3,614.6,446.1,378.4,270.9,373.1,342.6
Operating Profit Qtr Cr,43.9,140.5,111.1,122.7,41.3,146.8,102.9,80.3,31.6,57.6,53.3
Operating Profit Margin Qtr %,7.26%,15.59%,16.74%,16.12%,12.48%,19.28%,18.75%,17.50%,10.45%,13.38%,13.48%
Depreciation Qtr Cr,19.7,19.9,17.6,16.9,15.9,15.1,15.1,15.2,14,14.4,13.3
Interest Qtr Cr,3.4,4,3.4,3.7,2.7,5,3.5,5.4,6.8,8.2,8.9
Profit Before Tax Qtr Cr,22.1,116.7,91.8,103.6,24.8,131.2,89,63,16,40.2,31.9
Tax Qtr Cr,6,28.4,24.5,27.5,7.1,34,22.2,16.4,4.7,11.9,7.6
Net Profit Qtr Cr,16,88.2,67.3,76.1,17.8,97.2,66.8,46.6,11.3,28.3,24.3
Basic EPS Qtr Rs,1.4,8,6.1,6.9,1.6,8.8,6.1,4.2,1,3,2.7
