Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020
Total Revenue Qtr cr,1167.1,1268.5,1265.5,1243.8,1111.3,671.4,0,0,0,0
Operating Expenses Qtr Cr,1016.2,1106.2,1057.4,1023.1,860.7,572.1,0,0,0,0
Operating Profit Qtr Cr,141.5,155.7,198.8,213.7,244.7,96.8,0,0,0,0
Operating Profit Margin Qtr %,12.22%,12.34%,15.83%,17.28%,22.14%,14.48%,,,,
Depreciation Qtr Cr,30.8,30.3,29.6,29.6,30.6,21.4,0,0,0,0
Interest Qtr Cr,8,9.9,8.6,11,16.8,9.4,0,0,0,0
Profit Before Tax Qtr Cr,112.2,122.2,169.9,180.2,203.3,55.5,0,0,0,0
Tax Qtr Cr,35.7,47.7,52.9,57.6,65.1,16.9,0,0,0,0
Net Profit Qtr Cr,76.4,74.5,117,122.6,138.2,38.6,0,0,0,0
Basic EPS Qtr Rs,4.8,4.7,7.3,7.7,8.7,3.7,0,0,0,0
