Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1090.3,1143.2,966.9,972.9,1069.1,925.8,914.8,879.3,1041.8,951.1,887.4
Operating Expenses Qtr Cr,488,465,426.6,408.4,400.7,369.3,367.2,353.5,398.8,406,377.1
Operating Profit Qtr Cr,570.8,493.4,513.3,548.3,640.5,527.5,520.9,502.9,605.1,500.3,458.5
Operating Profit Margin Qtr %,53.91%,51.48%,54.61%,57.32%,61.51%,58.82%,58.66%,58.72%,60.27%,55.20%,54.87%
Depreciation Qtr Cr,14.4,14.7,17.2,18.2,17.9,18.2,20.1,21.1,20.8,21.1,21.1
Interest Qtr Cr,0.9,0.3,3.6,2.5,1,1,1.2,1.2,1.4,3,1.6
Profit Before Tax Qtr Cr,587.1,663.2,519.6,543.8,649.5,537.3,526.3,503.5,620.8,521,487.6
Tax Qtr Cr,147.8,123.2,131.5,140.4,169.8,124.1,134.4,124.9,165.2,18,116.9
Net Profit Qtr Cr,439.2,540.1,388.1,403.4,479.7,413.2,391.9,378.6,455.6,503,370.7
Basic EPS Qtr Rs,50.9,62.6,45,46.8,55.7,48,45.6,44,53,58.6,43.2
