Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,429,398.3,394.2,397.1,377.4,446.3,459.4,496.2,477.7,524.4,539.1
Operating Expenses Qtr Cr,180.2,159,142.5,134.4,119.2,106.1,94.6,101.6,102.4,130.1,129.4
Operating Profit Qtr Cr,243,225.3,236.7,235.1,215.4,-642.9,219.8,260.9,288.2,272.9,272.1
Operating Profit Margin Qtr %,59.73%,58.84%,61.12%,59.75%,57.81%,-147.90%,48.34%,53.40%,60.86%,52.55%,52.49%
Depreciation Qtr Cr,12.3,13.7,12.9,12.2,10.6,13.2,11.5,13.2,14.3,16.7,18.6
Interest Qtr Cr,118.7,110.4,123.9,128.2,146.8,190.7,211.5,228.2,244.2,262.4,267.5
Profit Before Tax Qtr Cr,155,116.5,106.8,98.3,62.9,-835.2,1.6,27.1,33.8,-1.2,6.7
Tax Qtr Cr,31.3,27.4,26.6,24.3,13,-209.3,0.5,7.4,7,34.2,1.3
Net Profit Qtr Cr,123.7,89.1,80.2,74,49.8,-625.9,1.1,19.7,26.8,-35.4,5.4
Basic EPS Qtr Rs,1.6,1.2,1.1,1,0.9,-23.2,0,0.7,1,-1.3,0.2
