Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,174.8,8.1,31.4,17.4,0.9,30.9,0.1,1,11,-10.5,117
Operating Expenses Qtr Cr,3,5.1,9,4.5,3.9,2.2,4.6,21.5,4.9,52.9,7
Operating Profit Qtr Cr,171.8,0.3,23,12.3,-2.9,6.1,-4.6,-22.1,-4.9,-65.8,107.3
Operating Profit Margin Qtr %,98.31%,5.89%,73.11%,73.05%,-309.47%,73.85%,-9140.00%,3515.87%,-12250.00%,510.63%,93.87%
Depreciation Qtr Cr,0,0,0,0,0,0,0,-16.6,18,10,1.2
Interest Qtr Cr,1.6,1.3,1.2,0.9,0.8,0.6,0.5,0.7,0.8,0.6,0.2
Profit Before Tax Qtr Cr,170.2,1.6,21.8,11.9,-3.8,28.1,-5.1,-4.7,-12.8,-74,108.5
Tax Qtr Cr,2.7,-1.7,7.1,3.8,0.2,2.3,-0.5,-2.7,-2.5,-3.6,2.3
Net Profit Qtr Cr,167.5,3.3,14.6,8.1,-4,25.9,-4.6,-2,-10.3,-70.4,106.3
Basic EPS Qtr Rs,1.1,0,0.1,0.1,0,0.2,0,0,-0.1,-0.4,0.7
