Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020
Total Revenue Qtr cr,506.4,409.1,488,331.7,142,328,310.4
Operating Expenses Qtr Cr,316.3,267.5,308.8,222.8,110,229.8,200.1
Operating Profit Qtr Cr,180.9,128.4,167.2,91.5,16.2,88.2,93.3
Operating Profit Margin Qtr %,36.38%,32.43%,35.13%,29.12%,12.80%,27.74%,31.81%
Depreciation Qtr Cr,38.9,34.6,34.3,33.5,31.4,29.9,29.9
Interest Qtr Cr,13.4,14.5,12.3,12.2,11.2,12.5,10.2
Profit Before Tax Qtr Cr,137.7,92.5,132.6,63.1,-10.6,55.9,70.2
Tax Qtr Cr,34.5,25,32.4,12.9,-0.4,11.1,8.6
Net Profit Qtr Cr,103.2,67.5,100.1,50.2,-10.3,44.8,61.6
Basic EPS Qtr Rs,3.8,2.5,3.8,1.9,-0.4,1.7,2.3
