Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020
Total Revenue Qtr cr,1304.3,1161.8,1086.3,1032.1,828.3,652.7,556.8,396.7,239.6
Operating Expenses Qtr Cr,1401.2,1419.2,1375.9,1358.3,1085,714.4,575.3,483.9,274.6
Operating Profit Qtr Cr,-269.7,-404.4,-434.7,-461.2,-327.1,-122.5,-48.4,-107.9,-55.5
Operating Profit Margin Qtr %,-23.84%,-39.85%,-46.19%,-51.41%,-43.16%,-20.70%,-9.19%,-28.70%,-25.33%
Depreciation Qtr Cr,37.6,34.1,34,33.4,31.9,30.4,32.3,33,33.2
Interest Qtr Cr,3.6,1.4,1.1,1.2,1.8,3.2,1.5,1.6,1.6
Profit Before Tax Qtr Cr,-138.1,-293.5,-99.3,-414.2,-290.8,-108.5,-388.6,-310.2,-78.7
Tax Qtr Cr,0,0.2,0,0,0,0,0,0,0
Net Profit Qtr Cr,-138.1,-293.7,-99.3,-414.2,-290.8,-108.5,-388.6,-310.2,-78.7
Basic EPS Qtr Rs,-0.2,-0.4,-0.1,-0.6,-0.5,-0.2,-12535.8,-0.6,-0.2
