Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,599.8,542,532.9,583.5,526.8,492.6,475.7,503.6,432.9,386.7,412.6
Operating Expenses Qtr Cr,526,480.5,468.1,511.2,456.9,417.4,389.6,410.8,350.4,342.1,342.2
Operating Profit Qtr Cr,59.8,56.8,60.5,67.1,65,69.8,79.8,88.9,78.2,40.2,65.1
Operating Profit Margin Qtr %,10.21%,10.58%,11.45%,11.60%,12.45%,14.33%,17.00%,17.79%,18.25%,10.51%,15.98%
Depreciation Qtr Cr,11.3,16.4,21,20.6,20.6,20,19.8,19.3,18.7,19.1,19.3
Interest Qtr Cr,1.3,1.4,1.8,1.8,1.7,1.8,2,2.9,5.1,5.8,6.9
Profit Before Tax Qtr Cr,61.2,43.7,42,50,47.6,29.8,64.3,70.6,58.7,19.6,44.1
Tax Qtr Cr,9,5.2,6.6,7.8,7.5,2.8,12.1,9.9,8.2,-6.4,1.6
Net Profit Qtr Cr,52.2,38.5,35.4,42.1,40.1,27,52.2,60.7,50.4,26,42.5
Basic EPS Qtr Rs,1.4,1.1,1,1.1,1.1,0.7,1.4,1.6,1.4,0.7,1.2
